frame_id,track_id,x1,y1,x2,y2,class
7,4,1547,713,1644,832,2
7,5,608,751,674,874,2
7,6,1233,461,1281,553,2
7,7,891,575,954,669,2
7,8,804,560,870,663,2
7,9,1649,446,1712,524,2
7,10,1475,423,1530,507,2
7,11,834,615,896,723,2
7,12,1743,590,1794,695,2
7,14,1574,554,1645,658,2
7,15,1398,386,1432,454,2
8,4,1536,717,1616,838,2
8,5,612,751,676,876,2
8,6,1244,463,1294,557,2
8,7,896,577,952,666,2
8,8,808,564,875,666,2
8,9,1655,449,1707,530,2
8,10,1481,427,1532,512,2
8,11,837,615,893,725,2
8,12,1749,591,1807,696,2
8,14,1572,567,1649,660,2
8,15,1406,390,1440,458,3
9,4,1539,720,1638,844,2
9,5,613,752,670,879,2
9,6,1251,464,1305,559,2
9,7,897,577,955,664,2
9,8,816,569,878,669,2
9,9,1660,452,1702,534,2
9,10,1492,431,1535,515,2
9,11,842,613,898,727,2
9,12,1757,592,1820,699,2
9,14,1574,566,1644,663,2
9,15,1414,394,1446,461,2
9,16,1559,496,1604,588,3
10,4,1535,722,1631,847,2
10,5,620,751,669,881,2
10,6,1256,465,1315,559,2
10,7,914,577,964,669,2
10,8,826,571,880,665,2
10,9,1662,452,1709,536,2
10,10,1497,432,1538,517,2
10,11,849,613,906,728,2
10,12,1762,593,1829,703,2
10,14,1583,568,1651,669,2
10,15,1423,392,1455,461,2
10,16,1561,498,1599,589,3
10,21,27,507,66,612,1
11,4,1534,719,1626,846,2
11,5,626,749,673,878,2
11,6,1259,466,1326,559,2
11,7,926,574,972,671,2
11,8,832,570,880,662,2
11,9,1658,452,1716,532,2
11,10,1499,433,1546,519,2
11,11,853,610,914,721,2
11,12,1776,595,1835,704,2
11,14,1589,566,1650,670,2
11,15,1431,392,1463,461,1
11,16,1561,496,1595,576,2
11,21,43,507,82,612,3
12,4,1535,717,1633,843,2
12,5,632,745,684,877,2
12,6,1266,468,1335,560,2
12,7,936,571,981,671,2
12,8,827,568,880,661,2
12,9,1652,452,1718,532,2
12,10,1503,430,1551,518,2
12,11,855,608,923,717,2
12,12,1785,596,1836,704,2
12,14,1592,566,1644,670,2
12,15,1436,384,1470,462,2
12,16,1559,495,1606,584,3
12,21,57,507,95,613,1
13,4,1536,715,1640,841,2
13,5,636,742,691,865,2
13,6,1268,470,1338,563,2
13,7,940,569,984,661,2
13,8,828,568,890,661,2
13,9,1650,453,1716,534,2
13,10,1502,430,1553,517,2
13,11,856,606,927,716,2
13,12,1793,597,1843,705,2
13,14,1597,563,1652,672,2
13,15,1444,393,1472,462,3
13,16,1555,494,1617,586,2
13,21,72,508,110,614,3
14,4,1536,714,1641,835,2
14,5,637,740,693,862,2
14,6,1268,471,1339,564,2
14,7,946,566,988,659,2
14,8,829,568,893,664,2
14,9,1654,453,1706,536,2
14,10,1503,432,1553,517,2
14,11,856,604,919,719,2
14,12,1804,595,1853,705,2
14,14,1599,555,1662,673,2
14,15,1451,394,1478,460,2
14,16,1548,493,1620,585,2
14,21,86,508,123,613,3
15,4,1533,714,1639,836,2
15,5,636,738,691,865,2
15,6,1269,472,1338,564,2
15,7,956,564,997,659,2
15,8,835,568,895,664,2
15,9,1660,454,1702,536,2
15,10,1509,433,1555,521,2
15,11,860,609,916,719,2
15,12,1811,594,1860,704,2
15,14,1600,559,1669,665,2
15,15,1460,394,1489,460,1
15,16,1554,493,1624,584,3
15,21,101,509,138,613,2
15,23,1812,594,1860,704,3
16,4,1532,715,1630,836,2
16,5,640,736,691,863,2
16,6,1276,473,1338,564,2
16,7,962,563,1007,660,2
16,8,837,568,897,665,2
16,9,1660,452,1710,536,2
16,10,1519,436,1559,523,2
16,11,866,614,913,718,2
16,12,1814,592,1867,701,2
16,14,1599,560,1674,662,2
16,15,1464,394,1492,462,3
16,16,1556,493,1620,589,2
16,21,116,509,155,612,1
16,23,1814,593,1868,701,3
17,4,1532,715,1620,839,2
17,5,645,733,697,861,2
17,6,1282,471,1334,545,2
17,7,971,560,1020,658,2
17,8,846,565,897,638,2
17,9,1657,451,1714,532,2
17,10,1518,436,1560,525,2
17,11,871,614,918,719,2
17,12,1820,592,1877,699,2
17,14,1599,560,1664,663,2
17,15,1472,393,1498,462,2
17,16,1559,493,1608,588,1
17,21,131,509,169,612,3
17,23,1821,592,1877,699,2
18,4,1534,712,1613,840,2
18,5,650,729,706,860,2
18,6,1290,471,1359,562,2
18,7,975,559,1027,654,2
18,8,850,563,903,640,2
18,9,1649,452,1713,530,2
18,10,1515,436,1565,523,2
18,11,873,610,925,718,2
18,14,1605,561,1661,666,2
18,15,1480,393,1508,462,2
18,16,1564,491,1609,588,2
18,21,147,509,185,612,1
18,23,1830,593,1885,698,3
19,4,1541,709,1622,840,2
19,5,654,727,713,850,2
19,6,1296,470,1369,562,2
19,7,981,557,1030,649,2
19,8,855,561,908,644,2
19,9,1648,451,1710,533,2
19,10,1515,437,1572,523,2
19,11,874,609,935,711,2
19,12,1841,593,1891,700,2
19,14,1609,563,1656,667,3
19,15,1482,393,1510,459,1
19,16,1563,487,1611,579,2
19,21,162,509,201,611,3
19,23,1842,593,1890,699,2
20,4,1544,707,1632,834,2
20,5,655,722,719,843,2
20,6,1300,470,1378,561,2
20,7,986,556,1038,652,2
20,8,857,559,912,647,2
20,9,1654,451,1701,534,2
20,10,1514,437,1572,524,2
20,11,868,609,941,711,2
20,12,1847,594,1891,701,2
20,14,1616,562,1660,660,3
20,15,1489,391,1516,461,2
20,16,1559,487,1617,577,2
20,23,1847,593,1893,702,3
21,4,1544,705,1638,827,2
